cohort,course,title,status,modules,days,contact_hours,mode,venue,place,session_hours,start,end,enrol_open,nominate_by,assess_by,holidays,rate_per_day,fee,currency,folder
01-NBO-2701,Course 01,Macroeconomics and Public Finance,Available,7,10,60,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2027-01-18,2027-01-29,2026-11-23,2026-12-21,2027-02-12,,200,2000,USD,01_Macroeconomics_Public_Finance
03-VEA-2701,Course 03,Public Investment,Available,12,10,60,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2027-01-25,2027-02-05,2026-11-30,2026-12-28,2027-02-19,,80,800,USD,03_Public_Investment
13-ACC-2702,Course 13,"Monitoring, Evaluation and Learning",Available,8,10,60,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2027-02-08,2027-02-19,2026-12-14,2027-01-11,2027-03-05,,200,2000,USD,13_MEL
07-VWA-2702,Course 07,Education Modelling,Available,1,6,36,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2027-02-08,2027-02-15,2026-12-14,2027-01-11,2027-03-01,,80,480,USD,07_Education_Modelling
08-VEA-2702,Course 08,Health Modelling,Available,1,6,36,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2027-02-22,2027-03-01,2026-12-28,2027-01-25,2027-03-15,,80,480,USD,08_Health_Modelling
02-NBO-2703,Course 02,Economic Modelling,Available,7,10,60,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2027-03-01,2027-03-15,2027-01-04,2027-02-01,2027-03-29,10 Mar Eid al-Fitr (subject to sighting),200,2000,USD,02_Economic_Modelling
06-VWA-2703,Course 06,"Agriculture, Forestry and Fisheries Modelling",Available,2,7,42,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2027-03-08,2027-03-18,2027-01-11,2027-02-08,2027-04-01,08 Mar Independence Day (observed); 10 Mar Eid al-Fitr (subject to sighting),80,560,USD,06_Agriculture_Forestry_Fish_Modelling
09-ACC-2704,Course 09,Energy Modelling,Available,1,6,36,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2027-04-05,2027-04-12,2027-02-08,2027-03-08,2027-04-26,,200,1200,USD,09_Energy_Modelling
05-VEA-2704,Course 05,Trade Modelling,Available,2,6,36,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2027-04-05,2027-04-12,2027-02-08,2027-03-08,2027-04-26,,80,480,USD,05_Trade_Modelling
04-VWA-2704,Course 04,Climate Modelling,Available,10,10,60,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2027-04-05,2027-04-16,2027-02-08,2027-03-08,2027-04-30,,80,800,USD,04_Climate_Modelling
10-NBO-2704,Course 10,Transport and Water Modelling,Available,2,7,42,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2027-04-19,2027-04-27,2027-02-22,2027-03-22,2027-05-11,,200,1400,USD,10_Transport_Water_Modelling
01-VWA-2704,Course 01,Macroeconomics and Public Finance,Available,7,10,60,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2027-04-19,2027-04-30,2027-02-22,2027-03-22,2027-05-14,,80,800,USD,01_Macroeconomics_Public_Finance
